"","x"
"1",0.933333338
"2",0.800000004
"3",1.000000005
"4",0.933333338
"5",1.000000005
"6",0.866666671
"7",0.800000004
"8",1.000000005
"9",1.133333339
"10",1.133333339
"11",1.000000005
"12",0.800000004
"13",1.066666672
"14",1.000000005
"15",1.000000005
"16",1.066666672
"17",0.933333338
"18",0.800000004
"19",1.133333339
"20",1.000000005
"21",1.266666673
"22",1.000000005
"23",1.33333334
"24",0.533333336
"25",1.133333339
"26",1.066666672
"27",0.933333338
"28",1.066666672
"29",1.133333339
"30",1.066666672
"31",0.933333338
"32",1.133333339
"33",1.000000005
"34",1.066666672
"35",1.066666672
"36",0.933333338
"37",0.933333338
"38",0.800000004
"39",0.933333338
"40",1.000000005
"41",1.133333339
"42",1.066666672
"43",1.000000005
"44",1.066666672
"45",0.933333338
"46",1.133333339
"47",1.266666673
"48",0.533333336
"49",1.200000006
"50",1.133333339
"51",1.133333339
"52",1.000000005
"53",1.000000005
"54",1.000000005
"55",0.800000004
"56",1.000000005
"57",1.000000005
"58",0.933333338
"59",1.000000005
"60",1.000000005
"61",0.933333338
"62",1.066666672
"63",0.800000004
"64",1.066666672
"65",0.866666671
"66",0.800000004
"67",1.000000005
"68",1.066666672
"69",1.266666673
"70",1.000000005
"71",1.000000005
"72",1.000000005
"73",0.866666671
"74",0.866666671
"75",1.066666672
"76",0.800000004
"77",0.733333337
"78",0.866666671
"79",1.000000005
"80",0.933333338
"81",0.933333338
"82",1.000000005
"83",1.000000005
"84",1.066666672
"85",1.133333339
"86",1.000000005
"87",1.066666672
"88",0.866666671
"89",1.133333339
"90",0.933333338
"91",1.133333339
"92",1.000000005
"93",1.000000005
"94",0.933333338
"95",1.066666672
"96",0.933333338
"97",1.133333339
"98",1.000000005
"99",1.066666672
"100",1.000000005
"101",1.066666672
"102",1.066666672
"103",1.066666672
"104",0.933333338
"105",1.066666672
"106",0.866666671
"107",0.933333338
"108",0.866666671
"109",1.066666672
"110",0.933333338
"111",0.866666671
"112",1.000000005
"113",1.000000005
"114",1.066666672
"115",0.933333338
"116",0.800000004
"117",1.000000005
"118",0.933333338
"119",1.066666672
"120",0.933333338
"121",0.933333338
"122",1.066666672
"123",1.133333339
"124",1.066666672
"125",1.066666672
"126",1.133333339
"127",1.200000006
"128",1.066666672
"129",1.000000005
"130",1.066666672
"131",1.133333339
"132",1.266666673
"133",1.000000005
"134",1.200000006
"135",0.933333338
"136",1.000000005
"137",1.000000005
"138",0.933333338
"139",0.866666671
"140",1.066666672
"141",0.933333338
"142",1.000000005
"143",1.066666672
"144",1.000000005
"145",1.066666672
"146",1.000000005
"147",1.000000005
"148",1.000000005
"149",1.066666672
"150",0.866666671
"151",1.266666673
"152",0.933333338
"153",1.066666672
"154",1.066666672
"155",1.266666673
"156",1.133333339
"157",1.066666672
"158",1.000000005
"159",1.133333339
"160",1.066666672
"161",1.266666673
"162",1.066666672
"163",1.000000005
"164",1.066666672
"165",1.000000005
"166",1.33333334
"167",1.133333339
"168",0.933333338
"169",1.066666672
"170",1.066666672
"171",0.933333338
"172",1.133333339
"173",1.000000005
"174",1.000000005
"175",1.000000005
"176",1.000000005
"177",1.000000005
"178",1.000000005
"179",0.933333338
"180",1.000000005
"181",0.933333338
"182",1.000000005
"183",1.000000005
"184",1.133333339
"185",1.066666672
"186",1.133333339
"187",1.066666672
"188",0.800000004
"189",1.000000005
"190",1.133333339
"191",1.000000005
"192",1.066666672
"193",1.066666672
"194",0.933333338
"195",1.200000006
