"","x"
"1",0.866666671
"2",0.800000004
"3",0.866666671
"4",0.733333337
"5",0.866666671
"6",0.800000004
"7",0.800000004
"8",0.66666667
"9",0.66666667
"10",0.866666671
"11",0.800000004
"12",0.733333337
"13",0.800000004
"14",0.733333337
"15",0.800000004
"16",0.800000004
"17",0.800000004
"18",0.800000004
"19",0.800000004
"20",0.733333337
"21",0.800000004
"22",0.733333337
"23",0.800000004
"24",0.800000004
"25",0.733333337
"26",0.800000004
"27",0.800000004
"28",0.800000004
"29",0.800000004
"30",0.800000004
"31",0.800000004
"32",0.800000004
"33",0.800000004
"34",0.800000004
"35",0.800000004
"36",0.866666671
"37",0.733333337
"38",0.866666671
"39",0.733333337
"40",0.800000004
"41",0.800000004
"42",0.800000004
"43",0.733333337
"44",0.933333338
"45",0.866666671
"46",0.800000004
"47",0.800000004
"48",0.800000004
"49",0.800000004
"50",0.800000004
"51",0.800000004
"52",0.533333336
"53",0.800000004
"54",0.800000004
"55",0.800000004
"56",0.866666671
"57",0.800000004
"58",0.800000004
"59",0.866666671
"60",0.866666671
"61",0.800000004
"62",0.800000004
"63",0.866666671
"64",0.800000004
"65",0.800000004
"66",0.800000004
"67",0.866666671
"68",0.800000004
"69",0.866666671
"70",0.66666667
"71",0.800000004
"72",0.866666671
"73",0.866666671
"74",0.933333338
"75",0.866666671
"76",0.866666671
"77",0.866666671
"78",0.66666667
"79",0.933333338
"80",0.800000004
"81",0.933333338
"82",0.800000004
"83",0.866666671
"84",0.933333338
"85",0.800000004
"86",0.800000004
"87",0.800000004
"88",0.933333338
"89",0.800000004
"90",0.866666671
"91",0.800000004
"92",0.933333338
"93",0.933333338
"94",0.866666671
"95",0.866666671
"96",0.866666671
"97",0.933333338
"98",0.866666671
"99",0.866666671
"100",0.933333338
"101",1.000000005
"102",0.866666671
"103",0.866666671
"104",0.800000004
"105",1.000000005
"106",0.866666671
"107",0.866666671
"108",0.933333338
"109",0.933333338
"110",0.933333338
"111",0.933333338
"112",0.933333338
"113",0.866666671
"114",0.933333338
"115",0.866666671
"116",1.066666672
"117",0.733333337
"118",1.066666672
"119",0.600000003
"120",1.000000005
"121",0.800000004
"122",0.933333338
"123",0.933333338
"124",0.933333338
"125",0.66666667
"126",0.933333338
"127",1.066666672
"128",1.066666672
"129",1.000000005
"130",0.933333338
"131",0.933333338
"132",0.933333338
"133",0.866666671
"134",0.866666671
"135",0.800000004
"136",0.866666671
"137",0.933333338
"138",1.000000005
"139",1.000000005
"140",1.000000005
"141",1.000000005
"142",0.866666671
"143",0.933333338
"144",0.733333337
"145",0.733333337
"146",0.733333337
"147",0.733333337
"148",0.66666667
"149",0.866666671
"150",0.66666667
"151",0.800000004
"152",0.733333337
"153",0.866666671
"154",0.733333337
"155",0.866666671
"156",0.866666671
"157",0.866666671
"158",0.933333338
"159",0.933333338
"160",0.800000004
"161",0.66666667
"162",0.933333338
"163",1.000000005
"164",0.866666671
"165",0.866666671
"166",0.800000004
"167",0.866666671
"168",0.933333338
"169",1.066666672
"170",0.866666671
"171",1.066666672
"172",1.066666672
"173",0.933333338
"174",1.000000005
"175",0.866666671
"176",0.800000004
"177",0.866666671
"178",0.933333338
"179",1.000000005
"180",0.933333338
"181",0.933333338
"182",0.866666671
"183",0.933333338
"184",0.733333337
"185",1.000000005
"186",1.000000005
"187",0.533333336
"188",0.866666671
"189",0.733333337
"190",0.866666671
"191",0.866666671
"192",0.933333338
"193",1.000000005
"194",1.000000005
"195",0.866666671
"196",1.000000005
"197",0.800000004
"198",0.933333338
"199",0.933333338
"200",1.133333339
"201",0.933333338
"202",1.000000005
"203",0.933333338
"204",1.000000005
"205",0.866666671
"206",1.000000005
"207",0.933333338
"208",1.000000005
"209",1.000000005
"210",0.866666671
"211",1.000000005
"212",0.66666667
"213",0.866666671
"214",0.866666671
"215",0.733333337
"216",0.800000004
"217",0.866666671
"218",0.866666671
"219",0.800000004
"220",0.800000004
"221",0.866666671
"222",0.800000004
"223",0.866666671
"224",0.800000004
"225",0.800000004
"226",0.866666671
"227",0.800000004
"228",0.800000004
"229",0.66666667
"230",0.800000004
"231",0.800000004
"232",0.800000004
"233",0.866666671
"234",0.800000004
"235",0.800000004
"236",0.800000004
"237",0.866666671
"238",0.800000004
"239",0.600000003
"240",0.800000004
"241",0.866666671
"242",0.733333337
"243",0.800000004
"244",0.800000004
"245",0.800000004
"246",0.800000004
"247",0.800000004
"248",0.733333337
"249",0.800000004
"250",0.866666671
"251",0.866666671
"252",0.800000004
"253",0.866666671
"254",0.733333337
"255",0.866666671
"256",0.800000004
"257",0.800000004
"258",0.866666671
"259",0.866666671
"260",0.800000004
"261",0.866666671
"262",0.866666671
"263",0.66666667
"264",0.866666671
"265",0.866666671
"266",0.866666671
"267",0.800000004
"268",0.866666671
"269",0.866666671
"270",0.800000004
"271",0.866666671
"272",0.866666671
"273",0.733333337
"274",0.933333338
"275",0.866666671
"276",0.866666671
"277",0.866666671
"278",0.866666671
"279",0.866666671
"280",0.866666671
"281",0.866666671
"282",0.866666671
"283",0.533333336
"284",0.933333338
"285",0.866666671
"286",0.866666671
"287",0.866666671
"288",0.866666671
"289",0.933333338
"290",0.933333338
"291",0.866666671
"292",0.933333338
"293",0.66666667
